Table,status_id,status_type,status_published,num_reactions,num_comments
FB2,246675545449582_1649696485147474,video,4/22/2018 6:00,529,512
FB2,246675545449582_1649426988507757,photo,4/21/2018 22:45,150,0
FB2,246675545449582_1648730588577397,video,4/21/2018 6:17,227,236
FB2,246675545449582_1648576705259452,photo,4/21/2018 2:29,111,0
FB2,246675545449582_1645700502213739,photo,4/18/2018 3:22,213,0
FB2,246675545449582_1645650162218773,photo,4/18/2018 2:14,217,6
FB2,246675545449582_1645564175560705,video,4/18/2018 0:24,503,614
FB2,246675545449582_1644824665634656,video,4/17/2018 7:42,295,453
FB2,246675545449582_1644655795651543,photo,4/17/2018 3:33,203,1
FB2,246675545449582_1617858078331315,photo,3/22/2018 1:25,152,2
FB2,246675545449582_1617109651739491,photo,3/21/2018 8:40,234,15
FB2,246675545449582_1617051285078661,photo,3/21/2018 7:46,227,7
FB2,246675545449582_1615645795219210,photo,3/20/2018 1:54,98,0
FB2,246675545449582_1615629888554134,video,3/20/2018 1:28,18,0
FB2,246675545449582_1615585301891926,photo,3/20/2018 0:15,102,0
FB2,246675545449582_1615510251899431,video,3/19/2018 22:34,37,0
FB2,246675545449582_1612677855516004,video,3/17/2018 8:07,75,36
FB2,246675545449582_1612652492185207,video,3/17/2018 7:47,90,78
FB2,246675545449582_1607114469405676,photo,3/12/2018 5:51,145,9
