Table,status_id,status_type,status_published,num_reactions,num_shares
FB3,246675545449582_1649696485147474,video,4/22/2018 6:00,529,262
FB3,246675545449582_1649426988507757,photo,4/21/2018 22:45,150,0
FB3,246675545449582_1648730588577397,video,4/21/2018 6:17,227,57
FB3,246675545449582_1648576705259452,photo,4/21/2018 2:29,111,0
FB3,246675545449582_1645700502213739,photo,4/18/2018 3:22,213,0
FB3,246675545449582_1645650162218773,photo,4/18/2018 2:14,217,0
FB3,246675545449582_1645564175560705,video,4/18/2018 0:24,503,72
FB3,246675545449582_1644824665634656,video,4/17/2018 7:42,295,53
FB3,246675545449582_1644655795651543,photo,4/17/2018 3:33,203,0
FB3,246675545449582_1638788379571618,photo,4/11/2018 4:53,170,1
FB3,246675545449582_1637655039684952,photo,4/10/2018 1:01,210,3
FB3,246675545449582_1636730006444122,photo,4/9/2018 2:06,222,0
FB3,246675545449582_1635846033199186,photo,4/8/2018 5:10,313,2
FB3,246675545449582_1635730986544024,photo,4/8/2018 2:23,209,0
FB3,246675545449582_1632874756829647,photo,4/5/2018 9:23,346,0
FB3,246675545449582_1628507150599741,video,4/1/2018 5:16,332,30
FB3,246675545449582_1626584134125376,video,3/30/2018 8:28,135,79
FB3,246675545449582_1622470701203386,video,3/26/2018 8:28,150,47
FB3,246675545449582_1619188648198258,video,3/23/2018 7:09,221,36
